Product,Prefab name,Category,Price (EUR),Calories (kcal),Fat (g),Sugar (g),Protein (g),Carbohydrate (g),Alcohol (%),Lactose (Y/N),Gluten (Y/N),Vegan/Vegetarian/N
Weihenstephan haltbare Milch 15% 1L,Milk_Box,Dairy and Eggs,1.59,47,1.5,4.9,3.5,4.9,0,Y,N,Vegetarian
Demeter Schrozberger Milchbauern 6x Frische Vollmilch 38%,Milk_Bottle,Dairy and Eggs,11.94,69,3.8,4.8,3.4,4.8,0,Y,N,Vegetarian
DANONE Activia Classic Vanille 4x,Yoghurt_Green,Dairy and Eggs,2.69,90,3,11.4,4,11.8,0,Y,N,Vegetarian
Gut&Guenstig 4x Fruchtjoghurt Erdbeer,Yoghurt_Pink,Dairy and Eggs,1.86,99,2.8,14,2.5,15.1,0,Y,N,Vegetarian
Danone Activia Classic Natur 4x,Yoghurt_White,Dairy and Eggs,1.99,75,3.5,6,5,6,0,Y,N,Vegetarian
Gut&Guenstig 12x Eier aus Freilandhaltung,EggBox_12x,Dairy and Eggs,3.29,155,11,1.1,13,1.1,0,N,N,Vegetarian
Gut&Guenstig 4x Eier aus Freilandhaltung,EggBox_4x,Dairy and Eggs,1.19,155,11,1.1,13,1.1,0,N,N,Vegetarian
Gut&Guenstig 8x Eier aus Freilandhaltung,EggBox_8x,Dairy and Eggs,2.29,155,11,1.1,13,1.1,0,N,N,Vegetarian
Original Wagner Steinofen Pizza Schinken,Pizza_Black,Frozen,2.99,211,7.6,3.5,10.2,24.6,0,Y,Y,N
Original Wagner Steinofen Pizza Chicken,Pizza_Green,Frozen,3.39,204,6.3,4.3,10.1,25.6,0,Y,Y,N
Dr.Oetker Die Ofenfrische Pizza Salami,Pizza_Red,Frozen,3.69,230,8.5,3.2,9.5,28,0,Y,Y,N
EDEKA Basmati-Reis,Rice_Blue,Pasta and Rice,2.59,356,0.8,0.2,8.5,78,0,N,N,Vegan
Bens Original Express Langkorn- und Wildreis,Rice_Orange,Pasta and Rice,2.29,151,1.4,0.5,3.2,31,0,N,N,Vegan
Ja! Kochbeutel-Reis,Rice_White,Pasta and Rice,1.69,348,0.6,0.2,7,78,0,N,N,Vegan
Gut&Guenstig Creme Fraiche,Spread_CremeFraiche,Salty Spreads,0.99,294,30,3,2.4,3,0,Y,N,Vegetarian
EDEKA Hummus natur,Spread_Houmous,Salty Spreads,1.79,369,32.6,1.1,6.2,11.3,0,N,N,Vegan
Kuestengold Waffelmischung Feine Vielfalt,ChocolateBox_YellowBlue,Snacks,2.89,545,32,36,4,59,0,Y,Y,Vegetarian
EDEKA Cookie Vollmilch Mandel,Cookies_Brown,Snacks,1.79,519,28.6,33.1,7.5,56.5,0,Y,Y,Vegetarian
Griesson Cookies Classic Minis,Cookies_Orange,Snacks,1.29,493,25,32,7,58,0,Y,Y,Vegetarian
Edeka Artischoke,Artichoke,Vegetables,1.99,43,1,0.2,2.4,2.6,0,N,N,Vegan
Edeka Avocado,Avocado,Vegetables,0.99,138,12.5,3.55,1.37,3.55,0,N,N,Vegan
EDEKA OREGANO ISRAEL 1kg,Basket_Blue,Vegetables,86,72,2,9.6,2.2,9.7,0,N,N,Vegan
Rewe Minze 1kg,Basket_Mint,Vegetables,39.6,49.5,0.7,5.25,3.8,5.3,0,N,N,Vegan
Rewe Suntat Weisse Bohnen 1kg,Basket_WhiteBeans,Vegetables,5.89,65,1,4,6,13,0,N,N,Vegan
Edeka Karotte,Carrot,Vegetables,0.28,25,0.2,2,1,4.8,0,N,N,Vegan
Edeka Knoblauch,Garlic,Vegetables,0.46,145,0.12,8.5,6.05,28.41,0,N,N,Vegan
Edeka Steinchampignon,Mushroom,Vegetables,0.21,100,6.57,0.75,4.28,4.17,0,N,N,Vegan
Edeka Zwiebel,Onion,Vegetables,0.25,30,0.25,4,1.18,4.92,0,N,N,Vegan
Edeka Kartoffel,Potato,Vegetables,0.2,70,0.1,1,2,14.6,0,N,N,Vegan
Edeka Bio-Kuerbis Hokkaido,Pumpkin,Vegetables,3.83,63,0.6,4.2,1.7,12.6,0,N,N,Vegan
Rewe Butternut Speisekuerbis,Squash,Vegetables,3.99,44,0.1,2.2,1.1,8.3,0,N,N,Vegan
Edeka Saveol Tomaten,Tomato,Vegetables,0.35,20,0.21,2.52,0.95,2.6,0,N,N,Vegan
Edeka Zucchini,Zucchini,Vegetables,0.2,23,0.29,2.26,2.03,2.26,0,N,N,Vegan
